DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Sample_Groups
COLOR	#ff0000
LEGEND_TITLE	Sample Groups
LEGEND_SHAPES	1	1	1
LEGEND_COLORS	#1f77b4	#ff7f0e	#2ca02c
LEGEND_LABELS	Group_1	Group_2	Group_3
DATA
SRRSRRSRR10901569	#ff7f0e	Group_2
SRRSRRSRR10901571	#ff7f0e	Group_2
SRRSRRSRR10901572	#ff7f0e	Group_2
SRRSRRSRR10901573	#ff7f0e	Group_2
SRRSRRSRR10901574	#ff7f0e	Group_2
SRRSRRSRR10901575	#ff7f0e	Group_2
SRRSRRSRR10901576	#ff7f0e	Group_2
SRRSRRSRR11789049	#ff7f0e	Group_2
SRRSRRSRR11789051	#ff7f0e	Group_2
SRRSRRSRR11789354	#ff7f0e	Group_2
SRRSRRSRR11789445	#ff7f0e	Group_2
SRRSRRSRR12875632	#ff7f0e	Group_2
SRRSRRSRR13041690	#ff7f0e	Group_2
SRRSRRSRR13041744	#ff7f0e	Group_2
SRRSRRSRR13041750	#ff7f0e	Group_2
SRRSRRSRR13041751	#ff7f0e	Group_2
SRRSRRSRR17382008	#ff7f0e	Group_2
SRRSRRSRR17382009	#ff7f0e	Group_2
SRRSRRSRR17382011	#ff7f0e	Group_2
SRRSRRSRR17382012	#ff7f0e	Group_2
SRRSRRSRR17382013	#ff7f0e	Group_2
SRRSRRSRR17382014	#ff7f0e	Group_2
SRRSRRSRR17382015	#ff7f0e	Group_2
SRRSRRSRR17382016	#ff7f0e	Group_2
SRRSRRSRR17382017	#ff7f0e	Group_2
SRRSRRSRR17382018	#ff7f0e	Group_2
SRRSRRSRR17382019	#ff7f0e	Group_2
SRRSRRSRR17382020	#ff7f0e	Group_2
SRRSRRSRR17382021	#ff7f0e	Group_2
SRRSRRSRR17382022	#ff7f0e	Group_2
SRRSRRSRR17382023	#ff7f0e	Group_2
SRRSRRSRR17382024	#ff7f0e	Group_2
SRRSRRSRR17382025	#ff7f0e	Group_2
SRRSRRSRR17382026	#ff7f0e	Group_2
SRRSRRSRR17382027	#ff7f0e	Group_2
SRRSRRSRR17382028	#ff7f0e	Group_2
SRRSRRSRR17382029	#ff7f0e	Group_2
SRRSRRSRR17382030	#ff7f0e	Group_2
SRRSRRSRR17382031	#ff7f0e	Group_2
SRRSRRSRR17382032	#ff7f0e	Group_2
SRRSRRSRR17382033	#ff7f0e	Group_2
SRRSRRSRR17382034	#ff7f0e	Group_2
SRRSRRSRR17382035	#ff7f0e	Group_2
SRRSRRSRR17382036	#ff7f0e	Group_2
